Date,Open,High,Low,Close,Volume
1/3/2000,237.5,251.7,237.5,251.7,4456424
1/4/2000,258.4,271.85,251.3,271.85,9487878
1/5/2000,256.65,287.9,256.65,282.5,26833684
1/6/2000,289.0,300.7,289.0,294.35,15682286
1/7/2000,295.0,317.9,293.0,314.55,19870977
1/10/2000,317.4,318.7,305.3,308.5,13417057
1/11/2000,307.95,310.95,283.85,288.5,12544322
1/12/2000,289.0,305.0,282.15,301.7,12109507
1/13/2000,306.0,316.4,304.1,311.85,17076042
1/14/2000,309.5,321.65,309.5,316.3,13460592
1/17/2000,318.25,322.9,307.05,308.75,10729180
1/18/2000,309.0,318.95,305.55,314.2,10083321
1/19/2000,322.85,324.9,316.2,319.6,11481392
1/20/2000,320.0,324.9,310.55,312.85,15428711
1/21/2000,312.7,328.4,312.0,326.35,17137072
1/24/2000,325.5,331.85,322.0,326.15,13163301
1/25/2000,325.05,325.3,318.25,319.95,9752949
1/27/2000,329.0,336.8,322.7,334.95,15014556
1/28/2000,335.9,341.9,331.6,338.35,11734252
1/31/2000,334.45,336.0,326.55,328.15,10191331
2/1/2000,330.8,337.45,328.0,334.05,10707804
2/2/2000,342.9,346.9,338.55,340.15,9950848
2/3/2000,342.0,343.5,336.4,341.65,6771527
2/4/2000,344.0,347.35,341.7,344.15,7106910
2/7/2000,341.1,349.45,338.05,343.6,8193641
2/8/2000,345.5,346.9,341.05,342.4,6430661
2/9/2000,349.0,354.65,344.8,350.4,11436821
2/10/2000,348.8,363.8,344.9,355.75,10792579
2/11/2000,364.0,374.0,360.05,363.3,8155627
2/14/2000,359.0,360.9,350.0,352.1,5127399
2/15/2000,352.0,354.4,342.05,344.35,8124337
2/16/2000,350.0,353.8,343.1,348.15,7876392
2/17/2000,347.7,356.8,347.5,354.55,7670820
2/18/2000,356.9,357.95,348.0,349.45,5030667
2/21/2000,348.4,352.0,341.65,345.65,2944404
2/22/2000,346.0,347.0,332.5,334.35,7192242
2/23/2000,344.7,344.7,327.3,329.8,4831725
2/24/2000,332.9,340.7,329.3,336.75,5663873
2/25/2000,341.4,342.9,326.1,328.6,3912097
2/28/2000,324.85,337.25,310.0,333.1,5026004
2/29/2000,337.9,342.85,306.45,310.85,9970107
3/1/2000,315.0,329.85,299.0,316.8,10765888
3/2/2000,318.85,322.0,291.5,291.75,12536245
3/3/2000,286.1,286.1,268.45,268.45,4636776
3/6/2000,268.45,283.85,247.0,253.95,10430713
3/7/2000,257.0,259.0,240.0,242.3,9560450
3/8/2000,246.9,250.5,230.0,232.95,7256376
3/9/2000,235.9,242.4,224.15,231.3,5545792
3/10/2000,234.0,234.8,214.6,216.85,6597169
3/13/2000,219.9,229.5,200.3,203.2,10765401
3/14/2000,205.5,219.5,197.15,219.2,10106318
3/15/2000,224.0,236.75,216.0,236.75,5711222
3/16/2000,239.5,247.8,230.1,234.85,10564295
3/21/2000,238.8,242.8,227.6,237.9,6838036
3/22/2000,245.0,248.5,241.2,243.4,4931613
3/23/2000,245.25,245.8,238.55,240.95,4286132
3/24/2000,239.2,242.95,237.65,240.6,2637850
3/27/2000,243.0,259.85,243.0,259.85,4141666
3/28/2000,263.1,280.65,263.1,280.65,7026761
3/29/2000,284.8,289.9,269.0,271.3,10277833
3/30/2000,269.0,293.0,258.3,293.0,17168324
3/31/2000,297.0,316.45,280.1,316.45,19704184
4/3/2000,327.65,333.7,318.1,328.6,21353020
4/4/2000,326.0,326.0,302.35,302.35,13530488
4/5/2000,303.4,312.0,278.25,302.25,25186375
4/6/2000,303.0,326.45,302.55,326.15,16239068
4/7/2000,329.8,352.25,329.8,352.25,11686144
4/10/2000,369.9,380.0,359.5,364.55,22110719
4/11/2000,358.0,359.0,346.5,353.75,9759550
4/12/2000,357.0,360.0,334.4,337.95,17263869
4/13/2000,331.1,331.1,310.95,310.95,225213
4/17/2000,286.1,300.8,286.1,298.4,15931668
4/18/2000,297.1,308.9,294.0,300.05,8775778
4/19/2000,307.7,324.05,303.1,314.85,16293725
4/20/2000,313.0,340.05,309.25,337.75,19387991
4/24/2000,346.0,360.6,323.0,336.95,17618258
4/25/2000,322.3,339.5,311.65,332.05,15809540
4/26/2000,340.0,358.65,340.0,357.95,16998445
4/27/2000,360.8,366.0,338.3,345.65,29547592
4/28/2000,347.5,351.9,340.3,345.05,13426369
5/2/2000,348.0,354.65,325.25,329.15,16424665
5/3/2000,327.0,333.85,309.2,328.0,13760253
5/4/2000,331.0,342.95,331.0,337.2,11327281
5/5/2000,338.5,341.55,328.1,335.35,11144621
5/8/2000,331.0,337.0,322.3,324.0,5891336
5/9/2000,321.5,331.85,318.4,328.35,6136642
5/10/2000,330.0,334.9,323.3,325.25,6652614
5/11/2000,324.05,324.05,314.0,316.75,6428965
5/12/2000,319.6,322.5,313.3,315.9,4135346
5/15/2000,312.05,324.7,306.5,319.5,5797353
5/16/2000,320.0,321.9,315.0,317.4,3133472
5/17/2000,320.9,328.4,316.25,318.85,7802567
5/18/2000,318.0,319.75,307.1,310.1,5382755
5/19/2000,308.0,319.05,307.25,315.6,7967132
5/22/2000,313.0,316.9,309.0,312.45,3117749
5/23/2000,312.3,316.0,308.5,314.75,4169391
5/24/2000,313.65,317.9,310.0,312.75,4041968
5/25/2000,312.3,317.8,311.1,312.8,2617268
5/26/2000,314.8,318.0,311.0,316.45,3504803
5/29/2000,318.5,347.45,318.0,339.45,11805354
5/30/2000,340.75,345.85,337.1,343.8,5690548
5/31/2000,351.0,356.8,342.1,343.9,8452065
6/1/2000,342.1,345.9,336.15,339.2,5381385
6/2/2000,343.0,346.0,334.1,337.45,5846405
6/5/2000,337.7,351.85,336.4,339.2,10843536
6/6/2000,338.0,342.85,336.1,338.8,3919322
6/7/2000,339.9,344.4,336.25,337.95,3752088
6/8/2000,339.9,345.0,338.25,340.85,4600458
6/9/2000,341.9,352.7,339.05,341.2,12293372
6/12/2000,342.4,345.7,338.55,339.4,4122051
6/13/2000,339.0,346.45,337.05,338.5,6836937
6/14/2000,346.5,346.5,336.1,337.35,4483842
6/15/2000,341.0,341.0,327.5,331.45,6077043
6/16/2000,329.55,335.85,329.0,332.25,4558790
6/19/2000,333.75,336.0,330.2,331.35,3102806
6/20/2000,333.5,334.0,328.55,330.3,4148234
6/21/2000,334.0,334.0,328.25,329.15,2071279
6/22/2000,330.35,349.8,323.25,345.0,19142742
6/23/2000,346.1,354.65,335.0,337.75,15997583
6/26/2000,335.0,335.6,328.25,331.15,3465048
6/27/2000,331.35,339.9,330.1,334.5,7636206
6/28/2000,335.0,336.95,332.5,333.75,1744726
6/29/2000,335.35,345.7,334.9,342.25,7618018
6/30/2000,344.0,344.7,336.0,340.8,6345573
7/3/2000,338.0,351.95,338.0,348.15,9853239
7/4/2000,348.6,349.6,344.05,345.4,5380769
7/5/2000,349.0,360.35,346.6,354.15,13560315
7/6/2000,351.0,364.9,350.0,362.35,14329060
7/7/2000,364.4,365.9,360.0,361.2,7969212
7/10/2000,363.0,371.0,358.65,368.5,9419083
7/11/2000,369.9,377.7,366.55,375.95,12140871
7/12/2000,374.1,375.75,368.0,370.05,5052490
7/13/2000,370.8,373.8,363.0,365.75,5945560
7/14/2000,366.25,370.45,359.6,361.2,6403575
7/17/2000,362.9,364.9,357.5,363.3,6151343
7/18/2000,361.5,363.0,356.3,358.15,3720569
7/19/2000,358.5,362.5,352.5,354.1,4178056
7/20/2000,352.9,360.8,347.0,357.6,8901351
7/21/2000,357.0,357.0,342.25,343.9,10264940
7/24/2000,341.05,341.05,324.15,326.5,6016447
7/25/2000,322.55,336.45,320.2,333.9,6604953
7/26/2000,339.0,339.0,324.0,325.6,3880880
7/27/2000,326.0,350.8,322.1,344.05,8614501
7/28/2000,348.0,350.0,339.2,340.45,5985200
7/31/2000,338.0,340.9,335.5,336.8,2006533
8/1/2000,336.0,341.9,335.6,338.5,3732876
8/2/2000,337.4,339.7,336.0,339.0,1456348
8/3/2000,339.8,343.75,336.3,337.65,3333675
8/4/2000,338.5,338.75,329.15,330.1,3271743
8/7/2000,329.0,332.0,324.15,330.25,2471284
8/8/2000,331.65,333.35,329.5,330.85,2252594
8/9/2000,333.0,338.0,331.15,333.7,2395016
8/10/2000,332.0,335.75,328.15,329.55,1700036
8/11/2000,329.5,332.0,327.7,329.25,1951207
8/14/2000,329.0,331.85,322.3,329.35,2652282
8/16/2000,331.9,340.8,330.25,337.4,4819689
8/17/2000,339.0,345.4,335.5,337.75,6151601
8/18/2000,337.05,339.85,335.65,336.95,1834008
8/21/2000,336.2,338.9,335.1,336.5,1448300
8/22/2000,338.5,342.25,336.7,338.3,2848531
8/23/2000,341.7,346.0,338.55,339.55,5423766
8/24/2000,339.0,340.75,334.0,335.6,3300159
8/25/2000,336.5,338.4,331.25,333.6,1655254
8/28/2000,333.5,335.0,331.6,332.2,1190817
8/29/2000,331.3,334.5,329.3,330.4,2165046
8/30/2000,334.75,338.8,331.6,336.9,3066115
8/31/2000,338.5,340.8,335.05,336.55,2740898
9/4/2000,338.9,356.75,338.25,353.9,7875701
9/5/2000,357.0,359.6,352.25,355.75,3634270
9/6/2000,356.0,365.9,352.0,363.6,9780431
9/7/2000,361.15,370.9,360.1,361.85,7549126
9/8/2000,362.0,375.0,361.05,370.9,5956473
9/11/2000,374.8,387.0,374.1,383.15,7055315
9/12/2000,385.0,389.8,381.2,383.45,4331376
9/13/2000,385.95,385.95,372.0,375.5,5918549
9/14/2000,376.05,380.65,372.7,375.7,4199710
9/15/2000,376.0,377.15,363.15,365.95,3798828
9/18/2000,363.0,363.0,343.15,346.2,5241140
9/19/2000,344.2,351.95,334.0,337.6,4866225
9/20/2000,341.25,350.75,337.6,347.5,3828743
9/21/2000,347.9,350.0,342.35,347.9,3454067
9/22/2000,347.0,347.0,335.95,338.35,4212265
9/25/2000,342.05,346.0,338.0,341.95,3466621
9/26/2000,344.0,344.0,338.05,341.3,2857067
9/27/2000,341.05,354.7,334.4,351.9,6614226
9/28/2000,355.0,355.0,343.5,345.6,4924399
9/29/2000,347.8,349.9,341.05,342.5,2713333
10/3/2000,340.05,345.5,338.25,343.15,2996291
10/4/2000,346.0,348.5,343.9,346.65,1814978
10/5/2000,345.15,347.3,338.7,340.15,1717130
10/6/2000,338.05,341.8,336.55,340.4,2084877
10/9/2000,341.0,346.5,339.05,340.45,2465985
10/10/2000,341.05,341.5,333.4,335.2,2142703
10/11/2000,333.0,334.4,327.6,330.3,1941301
10/12/2000,327.5,334.5,322.55,327.35,4932887
10/13/2000,325.25,325.25,305.1,318.3,3820168
10/16/2000,321.0,334.4,305.25,310.3,4859355
10/17/2000,305.15,311.7,297.25,301.95,5873954
10/18/2000,299.5,302.5,294.25,298.35,2711227
10/19/2000,296.8,308.4,287.0,303.15,5017513
10/20/2000,309.25,313.5,296.15,298.1,6294894
10/23/2000,298.0,298.0,283.35,285.85,3537551
10/24/2000,286.0,294.7,284.5,292.7,4991911
10/25/2000,294.0,309.1,293.3,305.05,5484325
10/26/2000,307.95,310.0,304.05,305.55,1351639
10/27/2000,306.95,308.5,300.1,302.95,3479544
10/30/2000,304.5,309.4,300.1,301.0,2922970
10/31/2000,300.05,303.75,294.3,302.15,3035468
11/1/2000,310.45,312.8,304.55,308.55,5175535
11/2/2000,308.9,318.0,308.9,315.7,5345328
11/3/2000,318.4,320.75,314.8,315.65,4185175
11/6/2000,316.95,319.9,312.0,312.7,3987985
11/7/2000,310.15,315.25,310.15,313.2,2597494
11/8/2000,316.7,322.4,315.0,318.45,5620668
11/9/2000,317.5,322.7,316.0,319.15,3806455
11/10/2000,318.45,319.75,310.25,311.15,3515717
11/13/2000,310.05,310.05,301.15,302.4,2333597
11/14/2000,302.05,311.9,302.05,311.05,3676980
11/15/2000,315.95,317.4,310.1,313.1,3060728
11/16/2000,315.0,315.4,309.35,311.65,3259405
11/17/2000,311.0,311.45,307.5,310.85,3391993
11/20/2000,310.55,312.6,309.05,310.2,1679820
11/21/2000,312.75,312.75,307.6,309.1,3751462
11/22/2000,310.0,311.5,307.6,308.15,1146693
11/23/2000,307.0,312.5,305.25,311.15,2550499
11/24/2000,312.5,316.9,312.0,313.35,3370644
11/27/2000,314.0,319.9,313.5,318.7,3079656
11/28/2000,319.95,330.25,317.25,329.5,6766122
11/29/2000,328.0,332.4,324.0,327.2,5186104
11/30/2000,327.0,330.25,325.5,328.15,3132332
12/1/2000,327.0,330.25,324.5,328.1,3623292
12/4/2000,328.9,335.4,328.9,332.6,4911907
12/5/2000,334.5,339.8,334.3,338.7,3777774
12/6/2000,344.7,344.7,336.6,337.25,3121812
12/7/2000,336.4,340.35,335.75,337.55,2179581
12/8/2000,338.0,341.9,337.15,339.4,4262617
12/11/2000,340.9,346.95,340.0,345.95,6063721
12/12/2000,347.0,347.2,343.5,344.3,2380095
12/13/2000,346.0,349.55,344.4,347.4,4074879
12/14/2000,347.9,352.8,345.0,346.3,6316696
12/15/2000,345.0,345.0,336.3,337.95,4013696
12/18/2000,335.0,342.9,330.05,341.3,3808996
12/19/2000,343.25,344.6,338.1,339.4,3520914
12/20/2000,345.0,345.0,337.4,341.85,2094053
12/21/2000,340.1,344.95,336.55,342.3,4246752
12/22/2000,344.5,347.0,337.25,338.2,3558819
12/26/2000,337.05,341.9,326.55,328.0,3814774
12/27/2000,326.0,335.0,324.0,333.05,4007710
12/28/2000,335.8,340.2,332.8,338.8,4042545
12/29/2000,338.45,340.7,337.05,338.95,2686465
1/1/2001,340.0,343.65,339.0,341.75,3008237
1/2/2001,340.35,359.0,340.25,354.3,6623970
1/3/2001,355.0,361.7,353.0,360.05,8844088
1/4/2001,359.1,366.9,356.2,357.8,5982701
1/5/2001,356.5,366.8,356.5,364.3,7460148
1/8/2001,362.5,367.45,357.25,360.2,6842731
1/9/2001,359.4,361.8,357.1,357.95,4513682
1/10/2001,358.55,361.45,349.15,351.7,4730779
1/11/2001,352.5,357.3,351.0,355.8,4070774
1/12/2001,356.95,358.4,354.0,354.55,2402573
1/15/2001,354.05,356.5,352.0,355.55,1977779
1/16/2001,355.55,370.4,355.55,368.4,10397087
1/17/2001,371.1,371.45,361.25,362.05,4164213
1/18/2001,363.0,366.5,361.35,364.75,2730251
1/19/2001,365.1,373.8,365.1,369.1,6563871
1/22/2001,369.0,375.9,368.1,374.5,7587620
1/23/2001,374.75,384.25,374.75,381.65,8274005
1/24/2001,384.4,384.5,378.5,380.35,5461105
1/25/2001,381.5,383.5,376.65,381.7,4489764
1/29/2001,380.0,380.0,361.0,377.65,5074253
1/30/2001,378.55,391.0,378.55,389.65,10513293
1/31/2001,405.0,405.0,381.0,384.6,5900160
2/1/2001,383.5,388.6,372.7,386.15,12741600
2/2/2001,384.5,395.9,383.95,394.5,10129102
2/5/2001,393.1,400.5,390.25,399.15,10670248
2/6/2001,400.0,402.5,396.25,397.85,6048694
2/7/2001,395.65,397.95,392.0,393.45,3637077
2/8/2001,391.2,397.45,390.5,395.95,4783393
2/9/2001,397.0,402.0,394.25,398.9,6970040
2/12/2001,396.25,406.4,395.25,400.55,6589212
2/13/2001,402.0,411.9,397.5,410.05,8532878
2/14/2001,414.85,417.4,409.55,415.55,8956667
2/15/2001,415.0,425.4,413.0,422.7,14706855
2/16/2001,423.9,429.35,420.0,422.45,12684331
2/19/2001,423.0,427.05,418.5,425.35,6365686
2/20/2001,424.0,426.55,421.0,422.8,7155885
2/21/2001,423.05,424.85,412.1,414.1,7890074
2/22/2001,413.0,419.0,408.6,414.65,7787291
2/23/2001,415.05,420.6,409.6,411.3,7727518
2/26/2001,410.2,412.9,403.25,406.25,6221601
2/27/2001,407.5,409.25,397.3,402.1,5610643
2/28/2001,402.0,420.0,400.65,414.1,11049522
3/1/2001,416.0,446.0,416.0,438.2,15937433
3/2/2001,440.0,451.0,415.15,419.1,13416273
3/5/2001,420.5,425.0,402.5,408.65,9439887
3/7/2001,412.0,424.7,398.6,412.0,7545003
3/8/2001,413.45,420.15,409.05,413.4,4430539
3/9/2001,411.1,411.1,398.65,409.5,3926498
3/12/2001,409.1,412.0,402.0,408.0,3671174
3/13/2001,401.05,418.5,375.4,388.1,5264998
3/14/2001,389.0,404.9,385.15,399.4,3372451
3/15/2001,393.0,401.45,388.1,397.25,2484258
3/16/2001,394.0,399.25,379.1,384.0,3203308
3/19/2001,381.0,388.0,375.6,382.5,2258808
3/20/2001,384.0,384.75,370.5,373.35,1821965
3/21/2001,376.5,403.25,365.25,401.3,3322003
3/22/2001,405.35,408.8,391.0,393.4,2868227
3/23/2001,394.0,400.65,374.3,379.55,3543428
3/26/2001,380.0,386.6,376.1,384.2,1771673
3/27/2001,383.0,394.4,381.7,390.7,2935850
3/28/2001,395.0,405.0,393.6,402.0,2667459
3/29/2001,401.25,405.85,394.0,396.45,3813078
3/30/2001,394.1,396.7,386.65,389.55,2456373
4/2/2001,386.5,393.8,374.55,391.05,2789829
4/3/2001,390.0,395.0,386.0,390.85,1537797
4/4/2001,380.15,387.7,378.25,383.1,1451637
4/6/2001,383.0,392.95,381.0,382.75,1167280
4/9/2001,380.2,383.7,351.75,357.25,4892591
4/10/2001,355.2,355.2,326.3,328.6,3654586
4/11/2001,330.0,337.55,306.65,324.25,5682346
4/12/2001,318.0,318.0,292.1,297.35,6499976
4/16/2001,292.6,313.0,290.0,308.15,4508901
4/17/2001,307.0,321.8,306.0,315.2,3952056
4/18/2001,314.0,329.9,303.0,327.2,6574312
4/19/2001,329.95,378.6,329.95,369.75,10637686
4/20/2001,369.9,374.9,353.1,358.85,5761492
4/23/2001,355.0,363.4,350.75,354.1,3256283
4/24/2001,351.2,353.0,344.5,349.45,2665902
4/25/2001,350.0,363.0,348.0,358.65,4960851
4/26/2001,360.45,365.9,351.8,354.85,5102487
4/27/2001,351.0,351.0,332.6,345.35,5167914
4/30/2001,348.7,353.4,334.0,342.5,3325738
5/2/2001,342.0,346.5,336.2,342.3,2262729
5/3/2001,341.0,348.8,339.65,343.95,2340189
5/4/2001,343.15,346.0,341.0,343.7,1256387
5/7/2001,343.0,347.4,339.55,340.9,1124575
5/8/2001,340.5,348.2,340.05,346.1,2199889
5/9/2001,347.0,357.8,346.55,351.75,4449038
5/10/2001,351.9,356.7,350.6,355.15,2180184
5/11/2001,356.45,361.3,354.15,355.35,2230650
5/14/2001,355.0,362.05,354.65,359.8,1776515
5/15/2001,357.0,372.4,348.15,370.8,4649081
5/16/2001,372.6,374.8,365.15,366.95,3317202
5/17/2001,368.9,385.05,368.9,382.55,5799635
5/18/2001,384.7,384.85,373.0,374.85,3017492
5/21/2001,372.0,381.5,371.6,376.65,2904191
5/22/2001,377.85,381.5,375.7,377.45,2107258
5/23/2001,377.05,383.25,376.85,381.05,1885691
5/24/2001,381.0,394.4,381.0,392.9,6751945
5/25/2001,393.95,397.7,391.05,393.55,4265228
5/28/2001,394.0,401.9,394.0,398.8,2605823
5/29/2001,399.0,406.95,397.0,403.4,3057001
5/30/2001,406.0,406.7,389.95,391.55,3905928
5/31/2001,389.6,393.8,383.0,392.3,3062884
6/1/2001,393.25,394.25,378.1,380.25,3076039
6/4/2001,382.0,382.95,371.25,374.75,2222897
6/5/2001,372.75,377.8,370.5,372.95,2025266
6/6/2001,374.9,376.0,363.85,365.55,2829453
6/7/2001,367.0,367.45,357.15,364.2,3763376
6/8/2001,365.0,373.45,364.35,370.4,3596200
6/11/2001,370.0,372.45,366.1,370.7,2669682
6/12/2001,369.9,371.3,367.5,370.05,1379191
6/13/2001,371.0,376.9,370.05,375.4,2297910
6/14/2001,373.85,378.3,362.1,363.9,4651293
6/15/2001,362.1,362.1,353.1,357.6,3391469
6/18/2001,355.1,357.0,339.1,340.6,3960505
6/19/2001,340.0,348.0,339.65,346.85,2608036
6/20/2001,335.0,351.0,335.0,344.85,1863287
6/21/2001,344.75,350.45,340.0,341.1,3372739
6/22/2001,342.0,343.8,336.2,342.4,2226943
6/25/2001,340.7,343.1,335.55,341.45,1765526
6/26/2001,340.5,348.85,339.0,346.8,2028177
6/27/2001,346.0,359.9,342.8,358.1,3165398
6/28/2001,358.0,366.45,356.5,362.3,2752289
6/29/2001,362.5,373.45,360.1,368.5,1923989
7/2/2001,370.8,395.0,352.3,358.65,1007720
7/3/2001,349.6,352.0,324.0,329.4,4698452
7/4/2001,323.0,331.5,322.0,326.2,2820881
7/5/2001,332.0,336.4,328.05,331.75,2005530
7/6/2001,324.0,329.3,321.0,325.7,1224736
7/9/2001,324.0,330.0,316.1,327.2,2564180
7/10/2001,331.5,334.9,327.0,333.7,1783315
7/11/2001,332.0,340.75,329.1,336.6,1143594
7/12/2001,338.5,342.7,337.2,340.2,1247953
7/13/2001,341.75,350.75,332.3,344.0,2040818
7/16/2001,338.9,342.0,330.0,332.0,1533243
7/17/2001,329.0,336.4,325.1,333.0,1155950
7/18/2001,334.05,335.45,325.0,326.75,1483925
7/19/2001,325.0,326.45,321.0,324.1,1207297
7/20/2001,326.0,326.1,310.5,313.9,1828817
7/23/2001,310.0,316.0,300.0,313.0,139127
7/24/2001,301.2,316.5,301.2,314.35,992324
7/25/2001,314.5,315.45,308.7,310.7,1224927
7/26/2001,308.0,312.4,302.8,304.85,2175744
7/27/2001,303.5,307.95,300.0,306.05,1281491
7/30/2001,305.45,314.0,303.3,312.85,1499863
7/31/2001,314.75,320.75,303.65,318.85,3962478
8/1/2001,320.95,322.25,312.25,315.5,1875223
8/2/2001,314.0,320.9,309.55,317.8,1627268
8/3/2001,317.5,321.1,310.3,317.2,3430847
8/6/2001,317.0,324.65,315.25,323.2,1825026
8/7/2001,321.05,330.0,321.05,329.15,2348302
8/8/2001,324.9,331.0,322.55,328.45,1784988
8/9/2001,326.0,339.75,325.0,335.8,2330234
8/10/2001,338.0,341.45,334.1,339.8,2537055
8/13/2001,339.5,340.9,324.6,326.55,1985420
8/14/2001,329.7,329.7,319.65,321.05,2950685
8/16/2001,323.0,331.45,321.0,326.9,2878695
8/17/2001,327.0,328.8,316.25,317.55,2705062
8/20/2001,315.0,321.9,314.55,317.85,1979019
8/21/2001,318.0,322.7,318.0,318.9,1852655
8/23/2001,319.9,338.0,316.1,317.0,1741427
8/24/2001,318.0,318.25,314.2,315.15,1494388
8/27/2001,318.0,319.9,313.1,315.3,1311019
8/28/2001,313.9,317.7,312.2,312.85,1031974
8/29/2001,312.0,320.25,311.9,318.4,3467938
8/30/2001,317.25,321.4,315.0,319.1,1979924
8/31/2001,318.4,319.0,309.55,311.15,2813082
9/3/2001,311.0,315.0,311.0,312.7,1154757
9/4/2001,312.9,316.4,308.65,314.35,1597075
9/5/2001,313.0,316.0,309.8,311.15,842904
9/6/2001,318.0,318.0,309.5,311.6,1211579
9/7/2001,313.7,313.7,306.05,307.7,1461504
9/10/2001,307.0,309.4,303.25,304.15,903087
9/11/2001,305.5,307.0,303.0,305.05,1047783
9/12/2001,295.0,301.5,276.05,297.9,2483919
9/13/2001,300.0,303.0,288.05,290.3,1442511
9/14/2001,291.7,291.7,261.3,261.3,2255672
9/17/2001,252.25,265.5,241.0,262.65,7144868
9/18/2001,260.0,278.5,250.0,253.15,6214991
9/19/2001,260.0,261.5,243.15,246.9,3856295
9/20/2001,241.9,245.5,231.8,239.9,4366253
9/21/2001,233.65,234.0,215.95,216.65,5247232
9/24/2001,217.5,226.85,214.6,221.15,7276553
9/25/2001,225.1,229.0,203.6,206.6,7120552
9/26/2001,209.9,227.3,209.9,227.15,6554659
9/27/2001,214.95,244.8,214.95,241.7,9596340
9/28/2001,244.0,265.9,238.5,264.6,10410047
10/1/2001,264.0,271.5,253.3,259.55,14585462
10/3/2001,261.0,261.9,242.1,246.6,7136734
10/4/2001,249.05,255.8,243.55,249.45,10646039
10/5/2001,249.0,257.0,243.6,250.65,5101125
10/8/2001,242.0,255.95,240.5,252.35,7420721
10/9/2001,255.0,257.8,249.2,253.1,7396572
10/10/2001,252.0,263.8,252.0,258.15,6465289
